ID,SEASON,TRIAL,A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,FOOD_x,FOOD_y,cmxpixel,unique_trial_ID
20201103-2,winter,T7,56.982368,71.095648,110.965664,16.935936,165.125376,71.801312,111.847744,125.25536,134.95824,27.520896,0.176416,winter_20201103-2_T7
20201103-2,winter,T8,56.629536,72.154144,112.376992,17.288768,164.94896,72.154144,111.494912,125.608192,134.07616,26.109568,0.176416,winter_20201103-2_T8
20201103-2,winter,T9,56.805952,71.095648,111.494912,17.288768,164.94896,71.801312,111.671328,125.078944,135.84032,26.109568,0.176416,winter_20201103-2_T9
20201103-2,winter,T10,56.982368,71.801312,112.376992,16.935936,165.125376,72.33056,112.02416,125.078944,134.252576,25.933152,0.176416,winter_20201103-2_T10
20201103-3,winter,T1,60.334272,71.801312,114.141152,16.406688,169.006528,69.507904,115.023232,124.37328,137.428064,24.69824,0.176416,winter_20201103-3_T1
20201103-3,winter,T2,61.392768,72.859808,115.728896,16.75952,168.653696,69.507904,114.846816,124.196864,139.192224,26.815232,0.176416,winter_20201103-3_T2
20201103-3,winter,T3,59.98144,71.624896,113.964736,16.053856,168.124448,70.213568,115.023232,124.020448,136.898816,26.109568,0.176416,winter_20201103-3_T3
20201103-3,winter,T4,60.157856,71.801312,113.78832,16.406688,168.300864,70.037152,115.199648,124.020448,136.193152,25.403904,0.176416,winter_20201103-3_T4
20201103-3,winter,T5,55.394624,67.390912,109.730752,13.936864,163.890464,67.92016,109.201504,121.72704,133.899744,23.286912,0.176416,winter_20201103-3_T5
20201103-3,winter,T6,61.392768,72.506976,115.55248,16.935936,169.182944,70.5664,116.081728,124.549696,138.133728,26.285984,0.176416,winter_20201103-3_T6
20201103-3,winter,T7,60.687104,71.801312,114.6704,16.053856,168.830112,70.037152,115.905312,124.196864,136.193152,25.58032,0.176416,winter_20201103-3_T7
20201103-3,winter,T8,60.510688,72.33056,113.964736,16.406688,168.653696,70.213568,116.43456,124.549696,137.075232,26.638816,0.176416,winter_20201103-3_T8
20201103-3,winter,T9,60.86352,71.977728,114.493984,16.230272,168.830112,69.68432,116.258144,124.020448,137.251648,25.58032,0.176416,winter_20201103-3_T9
20201103-3,winter,T10,61.039936,72.33056,115.023232,16.053856,169.182944,68.978656,115.905312,124.020448,137.780896,26.285984,0.176416,winter_20201103-3_T10
20201103-4,winter,T1,53.630464,70.389984,109.730752,18.347264,162.126304,76.564544,106.202432,126.313856,133.899744,29.10864,0.176416,winter_20201103-4_T1
20201103-4,winter,T2,55.041792,70.213568,111.671328,18.876512,162.479136,75.682464,106.202432,126.313856,133.017664,31.049216,0.176416,winter_20201103-4_T2
20201103-4,winter,T3,53.454048,70.5664,109.554336,18.700096,161.597056,75.506048,105.8496,126.666688,133.723328,29.10864,0.176416,winter_20201103-4_T3
20201103-4,winter,T4,53.983296,69.507904,111.494912,17.994432,161.949888,75.682464,105.8496,125.784608,132.841248,29.461472,0.176416,winter_20201103-4_T4
20201103-4,winter,T5,54.159712,70.389984,110.612832,18.700096,162.126304,76.035296,105.673184,126.666688,133.899744,28.932224,0.176416,winter_20201103-4_T5
20201103-4,winter,T6,54.336128,70.742816,111.14208,18.52368,162.655552,75.682464,105.8496,126.313856,135.663904,29.637888,0.176416,winter_20201103-4_T6
20201103-4,winter,T7,53.983296,69.68432,110.436416,17.818016,162.479136,75.153216,105.8496,125.961024,134.252576,28.402976,0.176416,winter_20201103-4_T7
20201103-4,winter,T8,53.101216,70.213568,108.672256,18.170848,161.597056,75.329632,105.673184,126.13744,132.664832,28.755808,0.176416,winter_20201103-4_T8
20201103-4,winter,T9,53.277632,69.860736,109.554336,17.994432,161.597056,75.85888,105.8496,125.961024,131.606336,29.461472,0.176416,winter_20201103-4_T9
20201103-4,winter,T10,54.512544,71.095648,111.494912,18.700096,162.655552,76.035296,105.8496,127.195936,133.899744,30.519968,0.176416,winter_20201103-4_T10
20201103-5,winter,T1,59.275776,74.9768,104.791104,26.991648,152.59984,74.09472,107.260928,120.315712,125.608192,35.988864,0.176416,winter_20201103-5_T1
20201103-5,winter,T2,58.922944,75.506048,106.026016,27.34448,152.423424,73.741888,107.260928,120.315712,125.962239617059,34.9307051038902,0.176416,winter_20201103-5_T2
20201103-5,winter,T3,58.746528,74.9768,104.96752,27.168064,152.247008,73.565472,106.73168,120.668544,124.726112,35.636032,0.176416,winter_20201103-5_T3
20201103-5,winter,T4,59.275776,74.800384,105.8496,27.168064,152.952672,73.741888,106.555264,120.315712,125.608192,35.636032,0.176416,winter_20201103-5_T4
20201103-5,winter,T5,59.452192,75.506048,106.026016,27.34448,153.129088,73.565472,107.084512,120.492128,124.549696,36.341696,0.176416,winter_20201103-5_T5
20201103-5,winter,T6,59.275776,75.682464,106.202432,27.168064,152.952672,73.389056,107.084512,120.315712,124.021644889065,34.5778696988004,0.176416,winter_20201103-5_T6
20201103-5,winter,T7,60.157856,75.682464,106.378848,26.638816,153.129088,73.741888,106.908096,120.139296,125.784608,34.048288,0.176416,winter_20201103-5_T7
20201103-5,winter,T8,58.746528,75.153216,105.143936,27.873728,152.776256,73.741888,106.908096,121.021376,126.843104,35.636032,0.176416,winter_20201103-5_T8
20201103-5,winter,T9,59.628608,75.153216,105.496768,26.638816,153.129088,73.741888,107.084512,120.139296,126.13744,34.930368,0.176416,winter_20201103-5_T9
20201103-5,winter,T10,66.508832,75.682464,105.8496,27.873728,153.129088,74.09472,107.437344,121.197792,124.549696,35.106784,0.176416,winter_20201103-5_T10
20201104-1,winter,T1,53.983296,71.624896,108.143008,16.75952,162.479136,72.154144,108.672256,124.902528,129.66576,26.991648,0.176416,winter_20201104-1_T1
20201104-1,winter,T2,58.393696,72.154144,109.37792,16.583104,163.1848,70.919232,109.025088,125.078944,131.959168,24.521824,0.176416,winter_20201104-1_T2
20201104-1,winter,T3,53.80688,71.801312,107.966592,17.112352,161.949888,71.44848,109.554336,125.431776,133.370496,27.697312,0.176416,winter_20201104-1_T3
20201104-1,winter,T4,55.041792,71.44848,110.083584,16.230272,163.008384,71.095648,107.966592,124.37328,132.841248,27.168064,0.176416,winter_20201104-1_T4
20201104-1,winter,T5,54.68896,70.919232,108.672256,16.935936,162.30272,71.977728,109.025088,125.078944,132.135584,27.520896,0.176416,winter_20201104-1_T5
20201104-1,winter,T6,55.394624,71.624896,109.554336,16.583104,163.1848,71.624896,109.025088,125.25536,133.546912,27.34448,0.176416,winter_20201104-1_T6
20201104-1,winter,T7,54.865376,70.919232,109.730752,16.583104,163.1848,71.624896,108.848672,124.549696,133.723328,27.34448,0.176416,winter_20201104-1_T7
20201104-1,winter,T8,53.983296,71.624896,109.554336,16.935936,162.479136,71.624896,108.319424,125.078944,131.077088,25.756736,0.176416,winter_20201104-1_T8
20201104-1,winter,T9,54.336128,70.5664,108.49584,16.75952,162.479136,71.44848,109.025088,124.196864,131.42992,26.285984,0.176416,winter_20201104-1_T9
20201104-1,winter,T10,55.394624,72.154144,110.26,16.583104,163.890464,71.624896,109.201504,125.431776,130.54784,24.521824,0.176416,winter_20201104-1_T10
20201106-1,winter,T1,63.862592,75.329632,118.022304,19.229344,171.652768,73.565472,118.727968,127.01952,141.662048,28.755808,0.176416,winter_20201106-1_T1
20201106-1,winter,T2,64.39184,75.506048,118.022304,19.229344,175.886752,73.21264,118.727968,127.548768,142.544128,30.343552,0.176416,winter_20201106-1_T2
20201106-1,winter,T3,63.862592,75.153216,117.669472,19.40576,171.299936,72.859808,118.727968,127.548768,142.367712,28.402976,0.176416,winter_20201106-1_T3
20201106-1,winter,T4,64.215424,74.800384,118.19872,19.229344,172.358432,73.036224,118.727968,127.195936,142.191296,30.519968,0.176416,winter_20201106-1_T4
20201106-1,winter,T5,64.215424,74.623968,118.19872,19.582176,172.358432,73.21264,119.0808,127.725184,142.367712,28.22656,0.176416,winter_20201106-1_T5
20201106-1,winter,T6,64.039008,75.329632,118.19872,19.052928,172.182016,72.683392,118.727968,127.195936,142.191296,27.697312,0.176416,winter_20201106-1_T6
20201106-1,winter,T7,64.215424,74.09472,118.022304,19.052928,172.358432,72.33056,118.727968,127.01952,142.367712,27.34448,0.176416,winter_20201106-1_T7
20201106-1,winter,T8,64.568256,73.741888,117.669472,19.052928,172.358432,72.859808,119.433632,127.372352,141.309216,27.168064,0.176416,winter_20201106-1_T8
20201106-1,winter,T9,64.215424,73.918304,118.022304,19.052928,172.358432,72.683392,118.727968,126.490272,142.191296,27.520896,0.176416,winter_20201106-1_T9
20201106-1,winter,T10,64.215424,74.800384,118.19872,19.40576,172.358432,72.859808,118.904384,127.195936,142.191296,39.6936,0.176416,winter_20201106-1_T10
